Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Données de la sécurité alimentaire","Autriche","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.64"
"Données de la sécurité alimentaire","Azerbaïdjan","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","5571.3"
"Données de la sécurité alimentaire","Azerbaïdjan","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","21031.5"
"Données de la sécurité alimentaire","Azerbaïdjan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.83"
"Données de la sécurité alimentaire","Azerbaïdjan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.93"
"Données de la sécurité alimentaire","Bahamas","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","35085.8"
"Données de la sécurité alimentaire","Bahamas","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","32895"
"Données de la sécurité alimentaire","Bahamas","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","1.28"
"Données de la sécurité alimentaire","Bahamas","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.88"
"Données de la sécurité alimentaire","Bahreïn","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","50419.1"
"Données de la sécurité alimentaire","Bahreïn","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","56646.6"
"Données de la sécurité alimentaire","Bahreïn","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.06"
"Données de la sécurité alimentaire","Bahreïn","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.41"
"Données de la sécurité alimentaire","Bangladesh","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","2825.3"
"Données de la sécurité alimentaire","Bangladesh","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","7805.2"
"Données de la sécurité alimentaire","Bangladesh","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.73"
"Données de la sécurité alimentaire","Bangladesh","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-1.09"
"Données de la sécurité alimentaire","Barbade","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","16419.3"
"Données de la sécurité alimentaire","Barbade","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","16325.5"
"Données de la sécurité alimentaire","Barbade","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","1.15"
"Données de la sécurité alimentaire","Barbade","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","1.15"
"Données de la sécurité alimentaire","Bélarus","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","11189.1"
"Données de la sécurité alimentaire","Bélarus","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","26526.6"
"Données de la sécurité alimentaire","Bélarus","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.14"
"Données de la sécurité alimentaire","Bélarus","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.79"
"Données de la sécurité alimentaire","Belgique","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","51214.3"
"Données de la sécurité alimentaire","Belgique","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","63431"
"Données de la sécurité alimentaire","Belgique","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","1.13"
"Données de la sécurité alimentaire","Belgique","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.58"
"Données de la sécurité alimentaire","Belize","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","11336.6"
"Données de la sécurité alimentaire","Belize","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","12407"
"Données de la sécurité alimentaire","Belize","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.18"
"Données de la sécurité alimentaire","Belize","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.43"
"Données de la sécurité alimentaire","Bénin","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","2617.2"
"Données de la sécurité alimentaire","Bénin","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","3697.6"
"Données de la sécurité alimentaire","Bénin","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.8"
"Données de la sécurité alimentaire","Bénin","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.35"
"Données de la sécurité alimentaire","Bermudes","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","96879.2"
"Données de la sécurité alimentaire","Bermudes","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","94531.3"
"Données de la sécurité alimentaire","Bermudes","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.71"
"Données de la sécurité alimentaire","Bermudes","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","1.03"
"Données de la sécurité alimentaire","Bhoutan","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","5004.5"
"Données de la sécurité alimentaire","Bhoutan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.49"
"Données de la sécurité alimentaire","Bhoutan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.86"
"Données de la sécurité alimentaire","Bolivie (État plurinational de)","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","6155.8"
"Données de la sécurité alimentaire","Bolivie (État plurinational de)","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","9565.3"
"Données de la sécurité alimentaire","Bolivie (État plurinational de)","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.24"
"Données de la sécurité alimentaire","Bolivie (État plurinational de)","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.28"
"Données de la sécurité alimentaire","Bosnie-Herzégovine","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","7893.9"
"Données de la sécurité alimentaire","Bosnie-Herzégovine","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","19355.7"
"Données de la sécurité alimentaire","Bosnie-Herzégovine","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.53"
"Données de la sécurité alimentaire","Bosnie-Herzégovine","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.44"
"Données de la sécurité alimentaire","Botswana","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","12803.4"
"Données de la sécurité alimentaire","Botswana","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","17334.9"
"Données de la sécurité alimentaire","Botswana","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","1.07"
"Données de la sécurité alimentaire","Botswana","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","1.08"
"Données de la sécurité alimentaire","Brésil","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","13653.7"
"Données de la sécurité alimentaire","Brésil","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","17874.3"
"Données de la sécurité alimentaire","Brésil","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.18"
"Données de la sécurité alimentaire","Brésil","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.33"
"Données de la sécurité alimentaire","Brunéi Darussalam","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","90898.7"
"Données de la sécurité alimentaire","Brunéi Darussalam","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","77440.8"
"Données de la sécurité alimentaire","Brunéi Darussalam","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","1.3"
"Données de la sécurité alimentaire","Brunéi Darussalam","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","1.26"
"Données de la sécurité alimentaire","Bulgarie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","12667.5"
"Données de la sécurité alimentaire","Bulgarie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","32511.8"
"Données de la sécurité alimentaire","Bulgarie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.38"
"Données de la sécurité alimentaire","Bulgarie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.25"
"Données de la sécurité alimentaire","Burkina Faso","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","1436.5"
"Données de la sécurité alimentaire","Burkina Faso","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","2448.1"
"Données de la sécurité alimentaire","Burkina Faso","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.06"
"Données de la sécurité alimentaire","Burkina Faso","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-1.78"
"Données de la sécurité alimentaire","Burundi","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","1013.5"
"Données de la sécurité alimentaire","Burundi","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","857.2"
"Données de la sécurité alimentaire","Burundi","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-2.01"
"Données de la sécurité alimentaire","Burundi","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-1.19"
"Données de la sécurité alimentaire","Cabo Verde","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","4402.6"
"Données de la sécurité alimentaire","Cabo Verde","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","7633.8"
"Données de la sécurité alimentaire","Cabo Verde","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","1.22"
"Données de la sécurité alimentaire","Cabo Verde","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.93"
"Données de la sécurité alimentaire","Cambodge","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","1593.2"
"Données de la sécurité alimentaire","Cambodge","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","4860.5"
"Données de la sécurité alimentaire","Cambodge","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.78"
"Données de la sécurité alimentaire","Cambodge","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.04"
"Données de la sécurité alimentaire","Cameroun","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","3776.1"
"Données de la sécurité alimentaire","Cameroun","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","4785.7"
"Données de la sécurité alimentaire","Cameroun","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.56"
"Données de la sécurité alimentaire","Cameroun","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-1.35"
"Données de la sécurité alimentaire","Canada","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","47525.3"
"Données de la sécurité alimentaire","Canada","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","56716.4"
"Données de la sécurité alimentaire","Canada","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","1.17"
"Données de la sécurité alimentaire","Canada","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.77"
"Données de la sécurité alimentaire","Chili","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","17681.8"
"Données de la sécurité alimentaire","Chili","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","29691.2"
"Données de la sécurité alimentaire","Chili","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.49"
"Données de la sécurité alimentaire","Chili","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.12"
"Données de la sécurité alimentaire","Chine","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","4196.5"
"Données de la sécurité alimentaire","Chine","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","21262.3"
"Données de la sécurité alimentaire","Chine - RAS de Hong-Kong","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","39848.5"
"Données de la sécurité alimentaire","Chine - RAS de Hong-Kong","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","64166.7"
"Données de la sécurité alimentaire","Chine - RAS de Hong-Kong","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.94"
"Données de la sécurité alimentaire","Chine - RAS de Hong-Kong","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.61"
"Données de la sécurité alimentaire","Chine - RAS de Macao","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","55768.4"
"Données de la sécurité alimentaire","Chine - RAS de Macao","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","57203.4"
"Données de la sécurité alimentaire","Chine - RAS de Macao","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.49"
"Données de la sécurité alimentaire","Chine - RAS de Macao","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","1.13"
"Données de la sécurité alimentaire","Chine, continentale","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","3989.1"
"Données de la sécurité alimentaire","Chine, continentale","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","21019.5"
"Données de la sécurité alimentaire","Chypre","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","36776.7"
"Données de la sécurité alimentaire","Chypre","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","50232.2"
"Données de la sécurité alimentaire","Chypre","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.52"
"Données de la sécurité alimentaire","Chypre","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.42"
"Données de la sécurité alimentaire","Colombie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","10961.7"
"Données de la sécurité alimentaire","Colombie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","18732.7"
"Données de la sécurité alimentaire","Colombie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-1.61"
"Données de la sécurité alimentaire","Colombie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.64"
"Données de la sécurité alimentaire","Comores","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","3038.9"
"Données de la sécurité alimentaire","Comores","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","3445.1"
"Données de la sécurité alimentaire","Comores","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.02"
"Données de la sécurité alimentaire","Comores","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.23"
"Données de la sécurité alimentaire","Congo","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","7612.4"
"Données de la sécurité alimentaire","Congo","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","6272.3"
"Données de la sécurité alimentaire","Congo","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.92"
"Données de la sécurité alimentaire","Congo","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.02"
"Données de la sécurité alimentaire","Costa Rica","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","14039.9"
"Données de la sécurité alimentaire","Costa Rica","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","24650.5"
"Données de la sécurité alimentaire","Costa Rica","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.87"
"Données de la sécurité alimentaire","Costa Rica","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.95"
"Données de la sécurité alimentaire","Côte d'Ivoire","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","4989.6"
"Données de la sécurité alimentaire","Côte d'Ivoire","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","6699.9"
"Données de la sécurité alimentaire","Côte d'Ivoire","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-1.24"
"Données de la sécurité alimentaire","Côte d'Ivoire","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.52"
"Données de la sécurité alimentaire","Croatie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","21129.5"
"Données de la sécurité alimentaire","Croatie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","39538.5"
"Données de la sécurité alimentaire","Croatie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.28"
"Données de la sécurité alimentaire","Croatie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.61"
"Données de la sécurité alimentaire","Cuba","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.25"
"Données de la sécurité alimentaire","Cuba","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.5"
"Données de la sécurité alimentaire","Danemark","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","58119"
"Données de la sécurité alimentaire","Danemark","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","71224.3"
"Données de la sécurité alimentaire","Danemark","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","1.5"
"Données de la sécurité alimentaire","Danemark","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.87"
"Données de la sécurité alimentaire","Djibouti","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","6135.8"
"Données de la sécurité alimentaire","Djibouti","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.24"
"Données de la sécurité alimentaire","Djibouti","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.51"
"Données de la sécurité alimentaire","Dominique","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","12964.6"
"Données de la sécurité alimentaire","Dominique","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","15221.4"
"Données de la sécurité alimentaire","Dominique","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.49"
"Données de la sécurité alimentaire","Dominique","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","1.3"
"Données de la sécurité alimentaire","Égypte","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","10221"
"Données de la sécurité alimentaire","Égypte","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","16600.4"
"Données de la sécurité alimentaire","Égypte","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.05"
"Données de la sécurité alimentaire","Égypte","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-1.03"
"Données de la sécurité alimentaire","El Salvador","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","7677.7"
"Données de la sécurité alimentaire","El Salvador","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","11103.5"
"Données de la sécurité alimentaire","El Salvador","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.33"
"Données de la sécurité alimentaire","El Salvador","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.15"
"Données de la sécurité alimentaire","Émirats arabes unis","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","98713.8"
"Données de la sécurité alimentaire","Émirats arabes unis","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","73724.3"
"Données de la sécurité alimentaire","Émirats arabes unis","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.98"
"Données de la sécurité alimentaire","Émirats arabes unis","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.7"
"Données de la sécurité alimentaire","Équateur","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","10231.6"
"Données de la sécurité alimentaire","Équateur","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","13530.4"
"Données de la sécurité alimentaire","Équateur","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.57"
"Données de la sécurité alimentaire","Équateur","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.24"
"Données de la sécurité alimentaire","Érythrée","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.77"
"Données de la sécurité alimentaire","Érythrée","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.97"
